"Date","Content"
"2023-04-01T07:00:00.000Z","MUSIC:<br/><a href=""https://www.civilizationnyc.com"" target=""_blank"">CIVILIZATION</a> Radio Episode?#19?on NTS. 9PM EST/6PM PST. Featuring Bj?rn Torske, Mouse On Mars, Javelin, Young Nudy, The Skids, YN Jay, and NiN..<br/>Produced by?<a href=""https://www.instagram.com/lucasmascatello/?hl=en"" target=""_blank"">Lucas Mascetello.</a><br/>Archive of new episodes <u><a href=""https://www.nts.live/shows/civilization-radio"" target=""_blank"">HERE</a></u><a href=""https://www.nts.live/shows/civilization-radio"" target=""_blank"">.</a><br/>Archive of old episodes <a href=""https://soundcloud.com/civilizationnyc"" target=""_blank"">HERE</a><a href=""https://soundcloud.com/civilizationnyc"" target=""_blank"">.</a>"
"2023-04-01T07:00:00.000Z","LOGOS:<br/><a href=""https://drive.google.com/file/d/1tIk1LoUOpS2zfHsTImIsau5veEPzJOXN/view?usp=share_link"" target=""_blank"">New brand identity</a> for <a href=""http://www.fini.world."" target=""_blank"">FINI</a> (formerly Finilar) launched. Was a lovely project, made in deep collaboration with the Fini guys ? who were a joy to work with. (And they sold 200 Fini NFT?s the day of the new logo?s launch.)"
"2023-04-01T07:00:00.000Z","FASHION:<br/>Interview Magazine?s Spring Issue launched with <a href=""https://www.instagram.com/p/CrBnoG1Lkzk/"" target=""_blank"">THE WEEKND</a> on the cover. Poor video / peak inside issue <a href=""https://drive.google.com/file/d/1JFlARqqAgDVV9m8LSEgRdgkVs9Lrqmt8/view?usp=share_link"" target=""_blank"">HERE</a>. Meanwhile, some way better scans of the 2023 March issue from Jack <a href=""https://www.instagram.com/p/CrddzqcOhJ7/"" target=""_blank"">HERE</a>."
"2023-04-01T07:00:00.000Z","ZOO:<br/><a href=""https://docs.google.com/presentation/d/1X6fdj990ZA7P1aXp-6WMr4EX8dw90UBvhfJ6t_TQDXU/edit?usp=sharing"" target=""_blank"">???THE BEST THING ON THIS WEBSITE BY SOME DISTANCE???|<br/></a>Echo took a day off and went to the zoo and made a 69 page presentation detailing the trip. <a href=""https://docs.google.com/presentation/d/1X6fdj990ZA7P1aXp-6WMr4EX8dw90UBvhfJ6t_TQDXU/edit?usp=sharing"" target=""_blank"">CLICK HERE NOW</a>."
"2023-04-01T07:00:00.000Z","SIDE BAR:<br/>In a previous life, two of Food made the <a href=""https://www.creativereview.co.uk/formula-1-logo-wieden-kennedy-london/"" target=""_blank"">FORMULA 1 logo and Identity</a>, so took <a href=""https://twitter.com/Mr_Turley/status/1652023017210298381"" target=""_blank"">great joy</a> in seeing the new PacSun Formula 1 ?Summer Collection?. See what we chose to buy <a href=""https://drive.google.com/file/d/1IasGuMmUpz-4pWLyo4DgWY7ryUcnM9_L/view?usp=share_link"" target=""_blank"">HERE</a>."
"2023-03-01T08:00:00.000Z","<a href=""https://media.giphy.com/media/PhNw9TWU6kdBko8n1M/giphy.gif"" target=""_blank"">NEW BIZ</a>:<br/>Work just keeps pouring in. This month we?ve onboarded both <a href=""https://drive.google.com/file/d/1jePPJrkcLbc6etX1bFLl_5sG5DZBG4YW/view?usp=share_link"" target=""_blank"">Chubbies Shorts</a> and <a href=""https://drive.google.com/file/d/1z1QRt6y3Kh_4FmgP_QP86CevWB-mGs2r/view?usp=share_link"" target=""_blank"">Flucky Flarm Pet Supplies</a>. Pumped to share that work as it emerges into the mind meld."
"2023-03-01T08:00:00.000Z","LIQUOR: <br/>As you all know, success depends on how <a href=""https://media.giphy.com/media/qA6m3bCy71Ukw/giphy.gif"" target=""_blank"">relevant</a> you can be to your customers and employees at any given moment. With our new campaign for <a href=""https://drive.google.com/file/d/1I2aJ9UyjiXA8nAPvFcArBajdYedIsHyE/view?usp=share_link"" target=""_blank"">LudBite</a> we?re creating growth through relevance at the speed of life and putting inclusion both front and behind in our quest for community. Coverage by a mate of ours at Fast Company <a href=""https://docs.google.com/document/d/1p2YK6a2VsYJPqhwCGSqpNbHEJb-jieFdh_N2mOWG_Ww/edit?usp=sharing"" target=""_blank"">here</a>."
"2023-03-01T08:00:00.000Z","<a href=""https://media.giphy.com/media/pJjKzRqY9HwME/giphy.gif"" target=""_blank"">RESPAWN</a>:<br/>Our new report reveals 69% of consumers globally who admit to behaving inconsistently think that paradoxical behaviors are both human and <a href=""https://docs.google.com/document/d/1Qv5W2cLwxjQjI1xE0ZgF0p-kB1oy7tjKB3aIyCvSNlU/edit?usp=sharing"" target=""_blank"">acceptable</a>."
"2023-03-01T08:00:00.000Z","TYPE A:<br/>On my phone. Staring into the void. About to make a purchase decision. Make myself feel <a href=""https://media.giphy.com/media/yqcMlg89cN1Re/giphy.gif"" target=""_blank"">better</a>."
"2022-12-01T08:00:00.000Z","<a href=""https://media.giphy.com/media/gf6fb69cM8Sq6cVx8a/giphy.gif"" target=""_blank"">EDUCATION</a>:<br/>WE?RE TRYING TO SET UP A <a href=""https://media.giphy.com/media/8FhXc8w45aN32/giphy.gif"" target=""_blank"">SCHOOL</a>. A SCHOOL. THE <a href=""https://media.giphy.com/media/119XrYvOgGgU0/giphy.gif"" target=""_blank"">PROBLEM</a> WITH THIS WORK WEBSITE FORMAT IS YOU CAN?T REALLY SCALE AN IDEA TO THE RIGHT SIZE. BUT A SCHOOL. A <a href=""https://media.giphy.com/media/119XrYvOgGgU0/giphy.gif"" target=""_blank"">SSSCCCHOOOLLLLL</a>. SO IMAGINE THIS MESSAGE ONLY BIGGER AND WITH PICTURES."
"2022-12-01T08:00:00.000Z","<a href=""https://media.giphy.com/media/rdcBcg07SdsPu/giphy.gif"" target=""_blank"">RETAIL</a>:<br/>Spent a few weeks with the lovely folk at <a href=""https://media.giphy.com/media/rdcBcg07SdsPu/giphy.gif"" target=""_blank"">IKEA</a>. We got them in a circle with us and we all held hands and we sang kumbaya. Then we canoe?d home, across the fjords as the sun set in the sky. The smell of campfire whispering to us as we <a href=""https://media.giphy.com/media/rdcBcg07SdsPu/giphy.gif"" target=""_blank"">paddled</a>."
