"Date","Content"
"2022-07-01T07:00:00.000Z","PRESS &amp;amp; PR:<br/>Nick <a href=""http://webbyawards-com-assets.s3.amazonaws.com/lovies/Virtual-Event-Enter-The-Metaverse.mp4"" target=""_blank"">talking</a> metaverse futures with the <a href=""https://www.lovieawards.com"" target=""_blank"">Lovie</a> awards and Media.Monks."
"2022-07-01T07:00:00.000Z","MUSIC:<br/>CIVILIZATION Radio Episode <a href=""https://www.instagram.com/p/CftyfgluHfB/"" target=""_blank"">#10</a> on NTS. 9PM EST/6PM PST. Featuring Glaxo babies, Grauzone, Pinty, Oil XL, Free Kitten, Television and more.<br/>Produced by <a href=""https://www.instagram.com/lucasmascatello/?hl=en"" target=""_blank"">Lucas Mascetello</a>.<br/><a href=""https://soundcloud.com/civilizationnyc"" target=""_blank"">ARCHIVE OF OLD EPISODES HERE</a>"
"2022-07-01T07:00:00.000Z","SELF CARE:<br/>Got a haircut. It?s ok. Nice head massage too. Got sold some shampoo too. Look basically not much happened this month, we?re NOT HERE."
"2022-06-01T07:00:00.000Z","FASHION:<br/>Launch of MULBERRY?s <a href=""https://www.vogue.com/article/ella-emhoff-mulberry-softie-zine"" target=""_blank"">SOFTIE ZINE</a> for opening of new Mulberry store in NYC. Peep at <a href=""https://drive.google.com/file/d/1q9aG-CtnjaQSV38HLDq-RGfw9TQBmwAz/view?usp=sharing"" target=""_blank"">ZINE</a>. <a href=""https://drive.google.com/file/d/1rvcjc0g_XqyJvCdMhqr0twAQb_0sxOlk/view?usp=sharing"" target=""_blank"">FILM OF ZINE</a>, <a href=""https://drive.google.com/file/d/1Mx5nC8eC7ss0-oOC9xByJVABGD93ZPFi/view?usp=sharing"" target=""_blank"">FILM</a>, <a href=""https://drive.google.com/drive/folders/1_eMOTcejxwGQgAArBOzwIf14seiguTvG?usp=sharing"" target=""_blank"">BEAR HEAD</a>, <a href=""https://docs.google.com/presentation/d/1opRD1dnZoRPDQ4voV4zwe2euEf1RqookXWBfmYXhIwA/edit?usp=sharing"" target=""_blank"">SOCIAL BITS</a><br/>??-<br/>Zine edited by <a href=""https://twitter.com/deankissick"" target=""_blank"">Dean Kissick</a> and featuring words by <a href=""https://www.instagram.com/duanereadeofficial/?hl=en"" target=""_blank"">Claire Banse</a>, <a href=""http://cristinebrache.info/"" target=""_blank"">Cristine Brache</a>, <a href=""https://www.instagram.com/sleepy.angel/?hl=en"" target=""_blank"">Seashell Coker</a>, <a href=""https://www.instagram.com/devan_diaz/?hl=en"" target=""_blank"">Devan D?az</a>, <a href=""https://www.instagram.com/soimwritinganovel/?hl=en"" target=""_blank"">Annie Hamilton</a>, <a href=""https://oliviaks.page/"" target=""_blank"">Olivia Kan-Sperling</a>, <a href=""https://theface.com/culture/honor-levy-new-yorker-literature-writer-online-culture-social-media-commentary-short-stories-young-writers-cancel-culture-"" target=""_blank"">Honor Levy</a>, <a href=""https://www.instagram.com/meetka_007/?hl=en"" target=""_blank"">Meetka Otto</a>, <a href=""https://www.nytimes.com/2021/05/03/t-magazine/precious-okoyomon-artist-shed.html"" target=""_blank"">Precious Okoyomon</a> and <a href=""http://meryn.ru/"" target=""_blank"">Bunny Rogers</a><br/>??-<br/>Photography by <a href=""https://www.luisaopalesky.com/"" target=""_blank"">Luisa Opalesky</a><br/>Music by <a href=""https://www.instagram.com/porches_hiii/?hl=en"" target=""_blank"">Porches</a>"
"2022-06-01T07:00:00.000Z","MUSIC:<br/>AI Generated Music Video with CALIBRE and CHELOU (With photos by Felix)<br/>VIDEO HERE"
"2022-06-01T07:00:00.000Z","FASHION:<br/>Editorial direction/Design for INTERVIEW MAGAZINE Summer Issue, with Anne Hathaway working it on <a href=""https://www.instagram.com/p/CfEXgFNuTlQ/"" target=""_blank"">COVER</a>. <br/>??<br/>Featuring Isamaya Ffrench, Myha?la Herrold, Aaron Rose Philip, Brontez Purnell, Baz Luhrman, Peter Marinom, Anson Boon and more.<br/>??<br/>PEAK INSIDE <a href=""https://www.instagram.com/p/ChClyG3OJWb/"" target=""_blank"">HERE</a> &amp;amp; <a href=""https://www.instagram.com/p/CfMFOQqODRd/"" target=""_blank"">HERE.</a>"
"2022-06-01T07:00:00.000Z","GOD?S WORK:<br/>WASD FOR NOOBS ? training executives in ?Metaversal navigation?. And how to avoid embarrassing virtual boardroom faux-pas."
"2022-06-01T07:00:00.000Z","PRESS &amp;amp; PR:<br/>Richard speaking at <a href=""https://birminghamdesignfestival.org.uk/whats-on/speakers/"" target=""_blank"">BIRMINGHAM DESIGN FESTIVAL</a> on subject of FREEDOM. Email <a href=""/cdn-cgi/l/email-protection#33575a5d5d564173555c5c571d4b4a49"" target=""_blank""><span data-cfemail=""b4d0dddadad1c6f4d2dbdbd09acccdce"">[email?protected]</span></a> if you want to see the slides."
"2022-06-01T07:00:00.000Z","SHHHHHH:<br/>A multi-platform virtual production of a much loved Children?s story. <br/>MORE SOON."
"2022-06-01T07:00:00.000Z","FASHION:<br/><a href=""https://drive.google.com/drive/folders/1FbUwLIKhL-rkqswmgf2kXQShOUynCtIo?usp=sharing"" target=""_blank"">OUTDOOR CAMPAIGN</a> for MULBERRY in NYC. <a href=""https://media.giphy.com/media/qfqmcctajjmrKtoG7i/giphy.gif"" target=""_blank"">Applying commissioned poetry over wheat paste posters</a> (Mulberry?s and otherwise) to celebrate opening of new store on Wooster Street."
"2022-06-01T07:00:00.000Z","MEDIA:<br/>Fire-drill creative direction of holding website for <a href=""https://www.semafor.com"" target=""_blank"">SEMAFOR</a> to time with PR event. (Including video made for $8k with Getty Images in a day)."
"2022-05-01T07:00:00.000Z","FASHION:<br/>Shooting the MULBERRY Wooster Street Store opening campaign with Luisa Opalesky featuring Ella Emhof on a rooftop in Brooklyn in a <a href=""https://www.instagram.com/p/CeLWZ98sj_I/?hl=en"" target=""_blank"">bounce house (US)/ bouncy castle (UK)</a> depending on where you chose to call home."
"2022-05-01T07:00:00.000Z","ART:<br/>Working with <a href=""http://superblue.com/"" target=""_blank"">SUPERBLUE</a> / <a href=""https://www.jr-art.net/"" target=""_blank"">JR</a> / NIANTIC / NEXUS / LFL to <a href=""https://www.complex.com/pop-culture/jr-reality-launch"" target=""_blank"">reimagine experiential art</a> for the Metaverse age.<br/>??<br/>Strategic and creative direction with <a href=""https://www.artpractice.studio/"" target=""_blank"">Art Practice</a>, <a href=""https://www.instagram.com/lucasmascatello/?hl=en"" target=""_blank"">Lucas Mascetello</a>.<br/><a href=""https://www.instagram.com/p/Cd__VvXFoJq/"" target=""_blank"">LAUNCH FILM.</a> <a href=""https://www.superblue.com/devcon/"" target=""_blank"">BETA APP.</a>"
"2022-05-01T07:00:00.000Z","<u>PRESS &amp;amp; PR</u>:<br/>Interview in Dazed with Richard about use of AI tools in new issue of CIVILIZATION.<br/>??<br/><a href=""https://www.dazeddigital.com/life-culture/article/56118/1/civilisation-mag-richard-turley-new-york-black-dog"" target=""_blank"">?The internet is most like a very big toilet. It?s a big corporate office full of cubicles, where people are forced to eat at the same time every day, and everyone gets sick of each other. <br/>There are no windows. <br/>Everyone is trying their hardest to get something out their ass while they?re back there. A big shit blockage that keeps everyone stuck, a big pool of shit around the cubicles?</a>"
"2022-05-01T07:00:00.000Z","MEDIA:<br/>Beginning of <a href=""https://www.google.com/search?q=semafor+ben+smith+justin+smith&amp;amp;client=safari&amp;amp;rls=en&amp;amp;ei=zy_2YrrNE4yUgAblvYjgBg&amp;amp;ved=0ahUKEwj68JSYkMH5AhUMCsAKHeUeAmwQ4dUDCA0&amp;amp;uact=5&amp;amp;oq=semafor+ben+smith+justin+smith&amp;amp;gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6BQghEKABOgcIIRCgARAKOgQIIRAVSgQIQRgASgQIRhgAUNwDWIYUYJoVaAFwAXgAgAFkiAHnB5IBBDEyLjGYAQCgAQHIAQjAAQE&amp;amp;sclient=gws-wiz"" target=""_blank"">SEMAFOR</a> consultancy. Ben Smith and Justin Smith?s new media start-up. Working with <a href=""http://adrianaramic.com/"" target=""_blank"">ADRIANA RAMIC</a> on the initial design of site and concepts for story forms."
"2022-05-01T07:00:00.000Z","CIVILIZATION:<br/>Single edition posters of tiny pieces from the new paper blown up to poster-size.<br/><a href=""https://www.instagram.com/p/CdLWGcROfhm/"" target=""_blank"">WHO DO YOU TRUST</a>, <a href=""https://www.instagram.com/p/CddXnPyOtDD/"" target=""_blank"">COME FOR ME</a>, <a href=""https://www.instagram.com/p/CdvZSlROvh7/"" target=""_blank"">BIRD CHESTED MEN</a>, <a href=""https://www.instagram.com/p/CeBb8yZOX9R/"" target=""_blank"">SLUSHIES ARE WHAT YOU MAKE THEM.</a>"
"2022-05-01T07:00:00.000Z","RUN A MILE:<br/>Quickest ever escape button hit on new client ?zine project?. <a href=""https://media.giphy.com/media/3orieLeZL5kyNqiLfO/giphy.gif"" target=""_blank"">Still shaking from it</a>."
"2022-05-01T07:00:00.000Z","RADIO SHOW:<br/>CIVILIZATION Radio Episode <a href=""https://www.instagram.com/p/CdbB35KDTSl/"" target=""_blank"">#9</a>NOW ON NTS. 9PM EST/6PM PST. Produced by <a href=""https://www.instagram.com/lucasmascatello/?hl=en"" target=""_blank"">Lucas Mascetello</a>.<br/><a href=""https://soundcloud.com/civilizationnyc"" target=""_blank"">ARCHIVE HERE</a>"
"2022-05-01T07:00:00.000Z","PRESS &amp;amp; PR:<br/>Richard and <a href=""https://www.instagram.com/melzy917/?hl=en"" target=""_blank"">Mel Ottenberg</a> spoke about INTERVIEW MAGAZINE at the <a href=""https://magculture.com"" target=""_blank"">MAGCULTURE</a> Live NYC festival. Paywalled review of event <a href=""https://www.creativereview.co.uk/interview-magazine-mel-ottenberg-richard-turley/"" target=""_blank"">HERE</a> (for those who like, <em>subscribe</em>)."
"2022-05-01T07:00:00.000Z","PRAISE BE:<br/>Sprawling zoom call with Graham Wood ? one of the founders of <a href=""https://en.wikipedia.org/wiki/Tomato_(design_collective)"" target=""_blank"">TOMATO</a>. Us in NYC. Him in Whitstable. Putting this in here because it will never be forgotten."
"2022-05-01T07:00:00.000Z","MUSIC:<br/>New branding launched for <a href=""https://www.koko.co.uk"" target=""_blank"">KOKO</a>. We got let go from the project a while back but the <a href=""https://dixonbaxi.com"" target=""_blank"">agency</a> that took it on kept the essence of the logo we proposed. Our deck <a href=""https://drive.google.com/file/d/127RjhNLiLzW_rFTph6wo9tNUSI7L_la_/view?usp=sharing"" target=""_blank"">HERE</a>."
